order,stage,currentDifficulty,proposedDifficulty,difficultyDelta,reviewWarnings,evidenceScore,difficultyScore,difficultyScorePctInStage,chainPctInStage,bottleneckPctInStage,grindPctInStage,openerPressureInStage,levelType,type,slotRole,relativeDifficulty,chains,openingGoodMoves,openingGoodMoveRatio,avgAvailableMoves,avgGoodMoveRatio,bottleneckStepRatio,hardBottleneckStepRatio,lowClearRatio,avgClearPerMove,maxLowClearStreak,validationStatus,validationSeverity,validationFlags,shapeId,levelId,proposalReason,sourceAsset
19,1-50,4,4,0,PeakLabelButFlatFlag,0.654,141.0,0.7,0.88,0.56,0.6,0.5,普通,lock,FixedFront40,VeryHard,94,5.0,0.455,9.447,0.521,0.266,0.011,0.032,7.372,3.0,Green,12,PeakTooFlat,,direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09,front20_fixed_keep_label; validation evidence shown only,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09.asset
20,1-50,1,1,0,,0.22,24.0,0.12,0.26,0.28,0.48,0.5,普通,shell,FixedFront40,Recovery,41,5.0,0.625,5.537,0.556,0.22,0.024,0.049,7.976,2.0,Green,0,None,,nomask_01_outer_shell,front20_fixed_keep_label; validation evidence shown only,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_01_outer_shell.asset
21,1-50,1,1,0,,0.15,0.0,0.04,0.34,0.08,0.04,0.1,普通,sweep,FixedFront40,Normal,44,9.0,0.75,6.25,0.737,0.182,0.023,0.0,8.705,0.0,Green,0,None,,nomask_style_02_snake_spine,stage_relative_quota,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_02_snake_spine.asset
22,1-50,1,1,0,,0.483,99.0,0.56,0.46,0.34,0.66,0.36,普通,section,FixedFront40,Normal,55,6.0,0.429,8.527,0.622,0.236,0.018,0.091,6.891,4.0,Green,0,None,,nomask_style_expansion_26_stair_ladder_a,stage_relative_quota,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_26_stair_ladder_a.asset
23,1-50,2,4,2,ValidationYellow:StartFakeWide|BottleneckHeavy,0.821,257.0,0.98,0.68,0.98,0.88,0.86,普通,shape_magic,FixedFront40,Normal,80,3.0,0.214,10.938,0.379,0.6,0.013,0.163,8.3,5.0,Yellow,30,StartFakeWide|BottleneckHeavy,shape_main_magic_quill_tall,r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall,validation_difficulty_top10;bottleneck_high;grind_high;few_good_openers;shape_visible_level,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340.asset
24,1-50,2,1,-1,,0.431,74.0,0.36,0.7,0.5,0.48,0.28,普通,section,FixedFront40,Normal,82,7.0,0.5,6.268,0.604,0.256,0.012,0.024,7.988,2.0,Green,0,None,,direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04,stage_relative_quota,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04.asset
25,1-50,3,2,-1,,0.734,159.0,0.78,0.9,0.72,0.48,0.5,普通,lock,FixedFront40,Normal,98,5.0,0.385,9.418,0.53,0.316,0.031,0.051,7.429,2.0,Green,0,None,,direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02,validation_difficulty_top25;chain_top10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02.asset
26,1-50,1,1,0,,0.254,44.0,0.22,0.3,0.18,0.6,0.36,hole,hole_rescue,HoleRescue,Mechanic,42,6.0,0.6,9.548,0.571,0.214,0.024,0.071,9.167,3.0,Green,0,None,,hole_candidate_058_tall_18x26_section,slot=HoleRescue;hole_stage_relative,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset
27,1-50,2,2,0,,0.703,164.0,0.8,0.68,0.64,0.96,0.1,普通,shape_object,Shape,Novelty,80,9.0,0.409,11.65,0.544,0.288,0.025,0.2,7.938,8.0,Green,0,None,shape_main_hourglass_tall,r2_outer_strong_005_r2_006_a401_procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall,validation_difficulty_top25;grind_high;slot=Shape;shape_visible_level,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall_20260611_111009.asset
28,1-50,1,1,0,,0.398,43.0,0.18,0.54,0.8,0.16,0.5,普通,maze,FixedFront40,Normal,63,5.0,0.714,5.063,0.628,0.349,0.048,0.016,7.73,1.0,Green,0,None,,direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06,stage_relative_quota,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06.asset
29,1-50,3,3,0,ValidationYellow:StartFakeWide,0.781,230.0,0.94,0.92,0.66,0.78,0.68,普通,dense,FixedFront40,Normal,99,4.0,0.19,9.717,0.444,0.293,0.01,0.091,6.747,5.0,Yellow,16,StartFakeWide,,direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05,validation_difficulty_top10;chain_top10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05.asset
30,1-50,4,2,-2,,0.57,86.0,0.46,0.98,0.9,0.48,0.28,普通,lock,FixedFront40,Normal,106,7.0,0.875,5.264,0.554,0.425,0.009,0.066,7.877,2.0,Green,14,BottleneckHeavy,,direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09,chain_top10;bottleneck_high,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09.asset
31,1-50,1,1,0,,0.374,73.0,0.34,0.5,0.14,0.48,0.0,普通,sweep,FixedFront40,Normal,61,10.0,0.556,9.164,0.558,0.197,0.033,0.033,6.246,2.0,Green,0,None,,direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01,stage_relative_quota,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01.asset
32,1-50,2,3,1,,0.769,174.0,0.82,0.74,0.88,0.94,0.5,普通,shape_magic,FixedFront40,Normal,83,5.0,0.556,12.53,0.457,0.422,0.024,0.133,8.096,7.0,Green,14,BottleneckHeavy,shape_main_shield_tall,r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall,validation_difficulty_top25;bottleneck_high;grind_high;shape_visible_level,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409.asset
33,1-50,2,1,-1,,0.32,40.0,0.16,0.62,0.1,0.48,0.0,普通,dense,FixedFront40,Normal,78,10.0,0.714,7.192,0.526,0.192,0.051,0.026,7.923,2.0,Green,0,None,,direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03,stage_relative_quota,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03.asset
34,1-50,3,2,-1,,0.592,105.0,0.6,0.86,0.44,0.68,0.1,普通,lock,FixedFront40,Normal,93,9.0,0.529,7.333,0.499,0.247,0.022,0.097,7.796,4.0,Green,0,None,,direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01,chain_top25,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01.asset
35,1-50,1,1,0,,0.406,85.0,0.42,0.56,0.42,0.16,0.36,普通,dense,FixedFront40,Normal,65,6.0,0.333,8.385,0.594,0.246,0.015,0.031,7.446,1.0,Green,0,None,,direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02,stage_relative_quota,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02.asset
36,1-50,2,2,0,,0.674,151.0,0.74,0.74,0.68,0.84,0.68,普通,lock,FixedFront40,Normal,83,4.0,0.571,5.735,0.575,0.301,0.012,0.072,7.434,6.0,Green,0,None,,direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02,stage_relative_quota,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02.asset
37,1-50,1,1,0,,0.35,83.0,0.4,0.26,0.12,0.84,0.68,hole,hole_rescue,HoleRescue,Mechanic,41,4.0,0.444,7.317,0.472,0.195,0.024,0.146,8.707,6.0,Green,0,None,,hole_candidate_009_std_20x22_lock,slot=HoleRescue;hole_stage_relative,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset
38,1-50,2,3,1,ValidationYellow:GrindyLowClear,0.766,209.0,0.88,0.82,0.78,1.0,0.5,普通,shape_magic,FixedFront40,Normal,88,5.0,0.357,15.239,0.443,0.341,0.011,0.182,8.216,9.0,Yellow,18,GrindyLowClear,shape_main_key_tall,r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall,validation_difficulty_top25;chain_top25;grind_high;shape_visible_level,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435.asset
39,1-50,3,1,-2,,0.558,90.0,0.5,0.94,0.52,0.6,0.0,普通,lock,FixedFront40,Normal,101,10.0,0.625,7.277,0.5,0.257,0.02,0.059,7.535,3.0,Green,0,None,,direct_normal_06_direct_normal_rect_core_burst_g0_v01,chain_top10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_06_direct_normal_rect_core_burst_g0_v01.asset
40,1-50,4,3,-1,,0.807,202.0,0.86,0.96,0.82,0.6,0.68,普通,lock,FixedFront40,Normal,103,4.0,0.308,5.087,0.569,0.35,0.029,0.058,6.961,3.0,Green,0,None,,direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05,validation_difficulty_top25;chain_top10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05.asset
41,1-50,1,1,0,,0.407,94.0,0.54,0.52,0.06,0.78,0.28,普通,dense,Recovery,Recovery,62,7.0,0.538,8.226,0.647,0.177,0.016,0.081,6.161,5.0,Green,0,None,,direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09,slot=Recovery,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09.asset
42,1-50,1,2,1,,0.559,117.0,0.64,0.68,0.38,0.84,0.18,普通,dense,Normal,Normal,80,8.0,0.444,9.925,0.528,0.238,0.013,0.075,7.725,6.0,Green,0,None,,direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02,stage_relative_quota,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02.asset
43,1-50,1,2,1,,0.633,138.0,0.68,0.78,0.24,0.94,0.18,普通,shape_magic,Shape,Novelty,87,8.0,0.444,11.149,0.556,0.218,0.034,0.103,8.655,7.0,Green,0,None,shape_main_magic_bat_tall,r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall,chain_top25;grind_high;slot=Shape;shape_visible_level,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall_20260611_111351.asset
44,1-50,2,4,2,PeakLabelButFlatFlag,0.88,238.0,0.96,0.76,0.84,0.94,0.86,普通,section,Pressure,Hard,86,3.0,0.25,6.0,0.572,0.36,0.058,0.093,7.302,7.0,Green,12,PeakTooFlat,,direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01,validation_difficulty_top10;chain_top25;grind_high;few_good_openers;rhythm=Hard;slot=Pressure,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01.asset
45,1-50,1,1,0,,0.28,45.0,0.26,0.6,0.22,0.48,0.0,普通,lock,Recovery,Recovery,74,10.0,0.667,7.878,0.631,0.216,0.014,0.041,8.0,2.0,Green,0,None,,direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04,slot=Recovery,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04.asset
46,1-50,1,1,0,,0.499,89.0,0.48,0.32,0.74,0.94,0.36,hole,hole_rescue,HoleRescue,Mechanic,43,6.0,0.667,7.023,0.547,0.326,0.07,0.163,10.163,7.0,Green,0,None,,hole_candidate_017_std_20x26_maze,grind_high;slot=HoleRescue;hole_stage_relative,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_017_std_20x26_maze.asset
47,1-50,3,3,0,ValidationYellow:GrindyLowClear|PeakTooFlat,0.791,213.0,0.9,1.0,0.36,1.0,0.5,普通,lock,Peak,VeryHard,118,5.0,0.417,8.008,0.576,0.237,0.008,0.076,7.653,9.0,Yellow,30,GrindyLowClear|PeakTooFlat,,direct_normal_73_direct_normal_rect_lock_buckle_g1_v08,validation_difficulty_top10;chain_top10;grind_high;rhythm=VeryHard;slot=Peak,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_73_direct_normal_rect_lock_buckle_g1_v08.asset
48,1-50,1,2,1,,0.614,110.0,0.62,0.82,0.7,0.94,0.0,普通,shape_magic,Shape,Novelty,88,10.0,0.714,11.659,0.44,0.307,0.011,0.159,8.614,7.0,Green,0,None,shape_main_magic_black_cat_tall,r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall,chain_top25;grind_high;slot=Shape;shape_visible_level,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall_20260611_111352.asset
49,1-50,2,2,0,,0.708,159.0,0.78,0.84,0.62,0.48,0.68,普通,section,Pressure,Hard,89,4.0,0.308,6.101,0.536,0.281,0.022,0.056,7.517,2.0,Green,12,PeakTooFlat,,direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03,validation_difficulty_top25;chain_top25;rhythm=Hard;slot=Pressure,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03.asset
50,1-50,1,1,0,,0.427,86.0,0.46,0.58,0.46,0.58,0.5,普通,sweep,Recovery,Recovery,67,5.0,0.417,8.075,0.491,0.254,0.015,0.09,7.866,2.0,Green,0,None,,nomask_style_expansion_35_zig_river_tall,slot=Recovery,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_35_zig_river_tall.asset
51,51-100,1,1,0,,0.499,122.0,0.56,0.36,0.64,0.64,0.08,普通,maze,Recovery,Recovery,85,11.0,0.5,10.682,0.546,0.306,0.082,0.082,6.929,2.0,Green,0,None,,direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07,slot=Recovery,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07.asset
52,51-100,2,1,-1,,0.312,88.0,0.28,0.46,0.08,0.26,0.48,普通,lock,Pressure,Hard,87,7.0,0.389,9.172,0.547,0.184,0.011,0.023,7.655,2.0,Green,12,PeakTooFlat,,direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09,rhythm=Hard;slot=Pressure,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09.asset
53,51-100,1,1,0,,0.522,126.0,0.6,0.4,0.2,0.88,0.38,普通,shape_space,Shape,Novelty,86,8.0,0.471,7.965,0.648,0.221,0.023,0.07,7.07,6.0,Green,0,None,shape_main_rocket_tall,r2_outer_strong_005_r2_006_a401_procmask_01_onion_maskproceduralvertical_30x42-mainrockettall,grind_high;slot=Shape;shape_visible_level,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406.asset
54,51-100,1,1,0,,0.24,37.0,0.08,0.04,0.58,0.86,0.6,hole,hole_rescue,HoleRescue,Mechanic,43,6.0,0.857,7.488,0.507,0.302,0.023,0.116,9.023,5.0,Green,0,None,,hole_topup_001_topup_tall_18x26_dense,grind_high;slot=HoleRescue;hole_stage_relative,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_001_topup_tall_18x26_dense.asset
55,51-100,1,1,0,,0.535,121.0,0.54,0.72,0.18,0.66,0.24,普通,section,Normal,Normal,94,9.0,0.45,12.489,0.566,0.213,0.032,0.053,7.277,4.0,Green,0,None,,direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02,stage_relative_quota,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02.asset
